仓库编码,仓库名称,仓库类型,仓库层级,仓库服务商,状态,国家,省市区,详细地址,邮编,负责人,联系电话,备注,是否实体仓,是否需清关,申报地海关,对应口岸,区间企业,账册编码,创建人,创建时间,更新人,更新时间,仓储货代,外部编码,是否自动生成核注清单,是否需核放申报
AA25110018,ULTA BEAUTY,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-21 14:36:52,,2025-11-21 14:36:52,,D01366,否,否
AA25110017,TRADEHOUSE OU,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-21 14:36:42,,2025-11-21 14:36:42,,D01365,否,否
AA25110016,SG POMADES TRADING PTE LTD,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-21 14:36:11,,2025-11-21 14:36:11,,D01364,否,否
AA25110015,NOT ON THE HIGH STREET CUSTOMERS,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-21 14:36:02,,2025-11-21 14:36:02,,D01363,否,否
AA25110014,Manhaé香港骏多拉仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-19 11:41:49,,2025-11-19 11:41:49,,G616,否,否
AA25110013,成都IFS伊菲丹店试用装仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-19 11:40:29,,2025-11-19 11:40:29,,C187,否,否
AA25110012,成都IFS伊菲丹店SPA仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-19 11:39:52,,2025-11-19 11:39:52,,C186,否,否
AA25110011,成都IFS伊菲丹店商品仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-19 11:39:18,,2025-11-19 11:39:18,,C185,否,否
AA25110010,济南万象城伊菲丹店SPA仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-19 11:35:56,,2025-11-19 11:35:56,,C183,否,否
AA25110009,济南万象城伊菲丹店试用品仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-19 11:35:18,,2025-11-19 11:35:18,,C184,否,否
AA25110008,济南万象城伊菲丹店商品仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-19 11:34:29,,2025-11-19 11:34:29,,C188,否,否
ZZ895,美斯蒂克微商城长沙跨境仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,黄花综保,,湖南拙燕仓跨境电子商务有限公司,,乐嘟,2024-02-28 11:36:21,诺涵,2025-11-19 09:58:18,菜鸟,G151,否,是
AA25110007,ZELENS得物大贸,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-17 14:08:45,,2025-11-17 14:08:45,,C180,否,否
AA25110006,LENGLING平潭有好货中心仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-13 10:23:36,,2025-11-13 10:23:36,,G094,否,否
AA25110005,hince天猫国际直营-寄售,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-07 14:10:46,,2025-11-07 14:10:46,,G614,否,否
AA25070009,郑州有赞保税仓-美专,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2025-07-07 16:21:38,诺涵,2025-11-06 11:33:35,自贸达,G482,否,否
AA25070031,莎娜普蔓郑州小红书中心仓-美专,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2025-07-07 16:37:50,诺涵,2025-11-05 13:45:38,自贸达,G525,否,否
AA25070034,莎娜普蔓郑州自贸达中间仓-美专,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2025-07-07 16:39:12,诺涵,2025-11-05 11:38:03,自贸达,G528,否,否
AA25080006,DS郑州自贸达中间仓-美专,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2025-08-15 09:22:19,诺涵,2025-11-05 11:27:04,自贸达,G561,否,否
AA25110004,hince天猫国际直营店寄售仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-05 11:03:12,,2025-11-05 11:03:12,,G613,否,否
AA25110003,Mesoestetic香港多拉,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-05 11:01:50,,2025-11-05 11:01:50,,G612,否,否
AA25070002,ReVive郑州自贸达专用中间仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2025-07-01 18:54:54,诺涵,2025-11-05 10:15:02,自贸达,G475,否,否
AA25110002,杭州财崎荟-ZELENS大贸,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-05 09:59:05,,2025-11-05 09:59:05,,D01351,否,否
